user_login,repo_name,repo_url,created_at,updated_at,forks_count,stargazers_count,language
cferdinandi,academy-common-issue-forgetting-the-prefix,https://github.com/cferdinandi/academy-common-issue-forgetting-the-prefix,2022-01-18T20:26:02Z,2022-01-20T09:11:26Z,0,1,HTML
cferdinandi,academy-expert-add-photo,https://github.com/cferdinandi/academy-expert-add-photo,2023-01-05T02:41:31Z,2023-01-05T02:41:48Z,0,0,JavaScript
cferdinandi,academy-expert-add-to-cart,https://github.com/cferdinandi/academy-expert-add-to-cart,2022-10-05T17:06:41Z,2024-09-23T15:57:48Z,0,0,HTML
cferdinandi,academy-expert-admin-dashboard,https://github.com/cferdinandi/academy-expert-admin-dashboard,2022-12-06T19:47:31Z,2022-12-08T00:32:39Z,0,1,JavaScript
cferdinandi,academy-expert-cart-count,https://github.com/cferdinandi/academy-expert-cart-count,2022-10-07T16:24:06Z,2024-09-23T15:59:04Z,0,0,HTML
cferdinandi,academy-expert-cart-count-template,https://github.com/cferdinandi/academy-expert-cart-count-template,2022-10-07T15:46:08Z,2024-09-23T15:58:40Z,0,0,HTML
cferdinandi,academy-expert-checkout,https://github.com/cferdinandi/academy-expert-checkout,2022-10-13T20:54:49Z,2022-10-13T20:55:17Z,0,0,JavaScript
cferdinandi,academy-expert-clear-cart,https://github.com/cferdinandi/academy-expert-clear-cart,2022-10-17T17:17:14Z,2022-10-17T17:17:28Z,0,0,HTML
cferdinandi,academy-expert-common-issue-over-modularizing,https://github.com/cferdinandi/academy-expert-common-issue-over-modularizing,2023-01-05T21:45:38Z,2024-09-23T15:56:58Z,0,0,JavaScript
cferdinandi,academy-expert-database,https://github.com/cferdinandi/academy-expert-database,2022-10-13T21:11:52Z,2022-10-13T21:12:48Z,0,0,HTML
cferdinandi,academy-expert-edit-api,https://github.com/cferdinandi/academy-expert-edit-api,2022-12-08T17:18:02Z,2022-12-22T19:58:18Z,0,0,JavaScript
cferdinandi,academy-expert-edit-api-template,https://github.com/cferdinandi/academy-expert-edit-api-template,2022-12-08T17:14:50Z,2022-12-08T17:15:04Z,0,0,JavaScript
cferdinandi,academy-expert-edit-ui,https://github.com/cferdinandi/academy-expert-edit-ui,2022-12-22T19:59:11Z,2022-12-22T19:59:26Z,0,0,JavaScript
